web-scraper-order,web-scraper-start-url,Page1,Page1-href,Title,Rating,Price,Author,Format,PublishDate,TotalVoters
1574333008-768,https://www.bookdepository.com/bestsellers?page=1,,https://www.bookdepository.com/Normal-People-Sally-Rooney/9780571334650,Normal People,3.9,SAR96.96 ,Sally Rooney,Paperback,23-Jul-19,"(123,419 ratings by Goodreads)"
1574332986-757,https://www.bookdepository.com/bestsellers?page=1,,https://www.bookdepository.com/Harry-Potter-Goblet-Fire-J-K-Rowling/9781408845677,Harry Potter and the Goblet of Fire : Illustrated Edition,4.55,SAR174.09 ,J.K. Rowling,Hardback,08-Oct-19,"(2,247,107 ratings by Goodreads)"
1574333006-767,https://www.bookdepository.com/bestsellers?page=1,,https://www.bookdepository.com/Blue-Moon-Lee-Child/9781787630277,Blue Moon : (Jack Reacher 24),4.12,SAR114.77 ,Lee Child,Paperback,29-Oct-19,"(8,077 ratings by Goodreads)"
1574333002-765,https://www.bookdepository.com/bestsellers?page=1,,https://www.bookdepository.com/Look-Inside-Your-Body-Louie-Stowell/9781409549475,Look Inside Your Body,4.64,SAR74.83 ,Louie Stowell,Hardback,01-Aug-18,(189 ratings by Goodreads)
1574332990-759,https://www.bookdepository.com/bestsellers?page=1,"52%
off",https://www.bookdepository.com/Power-Now-Eckhart-Tolle/9780340733509,The Power of Now : A Guide to Spiritual Enlightenment,4.13,SAR35.19 ,Eckhart Tolle,Paperback,01-Feb-01,"(164,352 ratings by Goodreads)"
1574332983-756,https://www.bookdepository.com/bestsellers?page=1,,https://www.bookdepository.com/Ottolenghi-SIMPLE-Yotam-Ottolenghi/9781785031168,Ottolenghi SIMPLE,4.31,SAR151.96 ,Yotam Ottolenghi,Hardback,06-Sep-18,"(1,471 ratings by Goodreads)"
1574332992-760,https://www.bookdepository.com/bestsellers?page=1,,https://www.bookdepository.com/Gentleman-Moscow-Amor-Towles/9780099558781,A Gentleman in Moscow,4.35,SAR93.96 ,Amor Towles,Paperback,10-Jan-18,"(171,231 ratings by Goodreads)"
1574333014-771,https://www.bookdepository.com/bestsellers?page=1,,https://www.bookdepository.com/Dear-Zoo-Rod-Campbell/9781416947370,Dear Zoo : A Lift-the-flap Book,4.27,SAR52.43 ,Rod Campbell,Board book,08-May-07,"(20,615 ratings by Goodreads)"
1574332994-761,https://www.bookdepository.com/bestsellers?page=1,,https://www.bookdepository.com/Dinky-Donkey-PB-Craig-Smith/9781407198514,The Dinky Donkey (PB),4.17,SAR67.25 ,Craig Smith,Paperback,01-Nov-19,(46 ratings by Goodreads)
1574332981-755,https://www.bookdepository.com/bestsellers?page=1,"53%
off",https://www.bookdepository.com/Start-With-Why-Simon-Sinek/9780241958223,Start With Why : How Great Leaders Inspire Everyone To Take Action,4.07,SAR107.20 ,Simon Sinek,Paperback,03-Apr-18,"(83,100 ratings by Goodreads)"
1574333016-772,https://www.bookdepository.com/bestsellers?page=1,,https://www.bookdepository.com/Educated-Tara-Westover/9780099511021,Educated : The Sunday Times and New York Times bestselling memoir,4.47,SAR74.66 ,Tara Westover,Paperback,27-Nov-18,"(450,134 ratings by Goodreads)"
1574332979-754,https://www.bookdepository.com/bestsellers?page=1,,https://www.bookdepository.com/Tattooist-Auschwitz-Heather-Morris/9781785763670,The Tattooist of Auschwitz : the heart-breaking and unforgettable international bestseller,4.26,SAR84.10 ,Heather Morris,Paperback,04-Oct-18,"(240,951 ratings by Goodreads)"
